#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.273   9.28133e-05    -0.0804096  -0.000138037
   0.00434286       290.327    0.00024858     -0.117906  -0.000182462
   0.00651429       291.149   0.000404459     -0.125353  -0.000156194
   0.00868571       291.664   0.000546746     -0.119877  -9.91527e-05
    0.0108571       291.971   0.000686745     -0.111975  -3.97842e-05
    0.0130286       292.174   0.000828873     -0.104097   1.40429e-05
       0.0152       292.323   0.000971288    -0.0964507   6.13859e-05
    0.0173714       292.444    0.00111141    -0.0889456   0.000102267
    0.0195429       292.546     0.0012471    -0.0814764    0.00013693
    0.0217143       292.637    0.00137638    -0.0739589   0.000165743
    0.0238857       292.722    0.00149739    -0.0663279   0.000189157
    0.0260571       292.801    0.00160856    -0.0585327    0.00020766
    0.0282286       292.879    0.00170766    -0.0505219   0.000221759
       0.0304       292.956    0.00179212     -0.042154   0.000232075
    0.0325714       293.037    0.00185957    -0.0332088   0.000239279
    0.0347429       293.122    0.00190719    -0.0235964   0.000243822
    0.0369143       293.214    0.00195215     -0.013669   0.000296034
    0.0390857       293.309    0.00195389   -0.00305178   0.000294229
    0.0412571       293.411    0.00192923    0.00784454   0.000290533
    0.0434286       293.519    0.00187585     0.0190812   0.000284959
       0.0456       293.636    0.00179284     0.0307728   0.000277523
    0.0477714       293.766    0.00167998     0.0429149   0.000268287
    0.0499429        293.91    0.00153689      0.055558   0.000257242
    0.0521143       294.074    0.00136387     0.0687928   0.000244347
    0.0542857       294.264    0.00116267     0.0827403   0.000229567
    0.0564571       294.491   0.000937527     0.0975427   0.000212907
    0.0586286       294.764   0.000696701       0.11335   0.000194454
       0.0608       295.104   0.000454626      0.130287   0.000174419
    0.0629714       295.536   0.000234989      0.148419   0.000153145
    0.0651429        296.11   3.09063e-05      0.168421   7.90984e-05
    0.0673143       296.947  -8.11196e-05      0.189621   5.28701e-05
    0.0694857       298.345  -0.000124791      0.211492   2.35646e-05
    0.0716571       300.747  -0.000100482       0.21819  -9.86451e-06
    0.0738286       304.079  -4.27993e-05      0.164117  -3.31376e-05
        0.076        307.75             0             0             0
