#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.535   2.30625e-05     -0.101167   0.000272356
   0.00434286       290.786   5.87417e-05      -0.14523   0.000351416
   0.00651429        291.68   8.98058e-05      -0.15183   0.000325296
   0.00868571       292.198   0.000115733     -0.145142   0.000288443
    0.0108571       292.512   0.000140328     -0.136409    0.00025975
    0.0130286       292.733   0.000164298     -0.127574   0.000236869
       0.0152        292.91   0.000187111     -0.118776   0.000217729
    0.0173714       293.062   0.000208362     -0.109937   0.000201188
    0.0195429         293.2   0.000230666     -0.100868    8.3645e-05
    0.0217143        293.33   0.000246674    -0.0916942   7.44035e-05
    0.0238857       293.456   0.000260697    -0.0822612    6.4968e-05
    0.0260571       293.582   0.000272335    -0.0724885   5.51375e-05
    0.0282286        293.71   0.000280924    -0.0621567   4.45823e-05
       0.0304       293.845   0.000285946    -0.0509638   3.28586e-05
    0.0325714       293.991   0.000287306    -0.0388016   1.97386e-05
    0.0347429       294.145   0.000285421    -0.0257983   5.46501e-06
    0.0369143       294.306   0.000280457    -0.0121518  -9.24916e-06
    0.0390857       294.474   0.000272099    0.00195872   -2.3327e-05
    0.0412571       294.649   0.000259843     0.0164247  -3.54752e-05
    0.0434286        294.83   0.000254332     0.0310573   6.79006e-05
       0.0456       295.021   0.000222285     0.0460708  -4.83646e-05
    0.0477714       295.217   0.000208856     0.0608789   7.58108e-05
    0.0499429       295.424   0.000164136     0.0757392  -3.52189e-05
    0.0521143       295.636   0.000128099     0.0900575  -1.67196e-05
    0.0542857       295.857   8.90356e-05      0.103736   9.48726e-06
    0.0564571       296.088   4.93881e-05      0.116772   4.33919e-05
    0.0586286       296.341   1.13602e-05      0.129471   8.45342e-05
       0.0608       296.631   -5.8286e-06       0.14204   0.000262883
    0.0629714       296.987   -3.3646e-05      0.155195   0.000309455
    0.0651429       297.451  -5.32331e-05      0.169031   0.000353921
    0.0673143       298.127  -7.99873e-05      0.184132   0.000285224
    0.0694857       299.255  -5.93014e-05      0.198751   0.000405909
    0.0716571       301.303  -4.14318e-05      0.201002   0.000376529
    0.0738286       304.321  -1.61834e-05      0.149874   0.000253281
        0.076        307.75             0             0             0
