#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.689  -4.47347e-06     -0.112595  -0.000315957
   0.00434286       291.074  -2.53453e-05     -0.162337   -0.00036149
   0.00651429        292.05  -5.77397e-05     -0.170912  -0.000313493
   0.00868571       292.592  -0.000100083     -0.164349  -0.000265703
    0.0108571       292.899  -0.000149584     -0.155399  -0.000233074
    0.0130286       293.103  -0.000201911     -0.146364  -0.000211746
       0.0152        293.26  -0.000253432     -0.137417  -0.000198539
    0.0173714       293.391  -0.000301861     -0.128477   -0.00019156
    0.0195429        293.51  -0.000345877      -0.11945  -0.000189663
    0.0217143       293.622  -0.000384786      -0.11026  -0.000192141
    0.0238857       293.733  -0.000418177     -0.100845  -0.000198582
    0.0260571       293.845  -0.000446024    -0.0910548  -0.000208825
    0.0282286       293.963  -0.000468687    -0.0806027  -0.000222845
       0.0304       294.092  -0.000486349    -0.0692857  -0.000240402
    0.0325714        294.23  -0.000498896    -0.0571229  -0.000260927
    0.0347429       294.377  -0.000506165    -0.0442555  -0.000283761
    0.0369143       294.534  -0.000508135    -0.0308414  -0.000308366
    0.0390857       294.699  -0.000504847    -0.0170104  -0.000334403
    0.0412571       294.873   -0.00049622   -0.00286375  -0.000361642
    0.0434286       295.057  -0.000482206     0.0115595  -0.000389869
       0.0456       295.251  -0.000463113     0.0262064  -0.000418685
    0.0477714       295.455  -0.000439423     0.0409291  -0.000447412
    0.0499429        295.67  -0.000411627     0.0555105  -0.000475306
    0.0521143       295.892  -0.000380408     0.0696715  -0.000501746
    0.0542857       296.122  -0.000346742     0.0831656  -0.000526464
    0.0564571       296.363  -0.000311425      0.096002  -0.000549772
    0.0586286       296.627  -0.000274751      0.108512  -0.000572268
       0.0608       296.929  -0.000237004      0.121071  -0.000594121
    0.0629714       297.292  -0.000198801      0.133951  -0.000615007
    0.0651429       297.759  -0.000160992       0.14744  -0.000634538
    0.0673143       298.424  -0.000124725      0.161893  -0.000651947
    0.0694857       299.524  -9.05714e-05      0.176646  -0.000661938
    0.0716571       301.499  -5.67548e-05      0.180624  -0.000631245
    0.0738286        304.42  -2.26384e-05      0.136119  -0.000458036
        0.076        307.75             0             0             0
