#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.459   5.06001e-05    -0.0922626    3.0994e-05
   0.00434286        290.66   0.000127822     -0.133097   1.90968e-05
   0.00651429       291.545   0.000199243     -0.139763  -4.01361e-05
   0.00868571        292.07   0.000263726     -0.133589  -0.000105618
    0.0108571       292.383    0.00032856     -0.125363  -0.000157188
    0.0130286       292.599   0.000394999     -0.117102  -0.000196249
       0.0152       292.765   0.000461393     -0.108936  -0.000225578
    0.0173714       292.905   0.000526151     -0.100775  -0.000246741
    0.0195429       293.028   0.000587925    -0.0925204  -0.000260623
    0.0217143       293.141   0.000645488    -0.0840955  -0.000267774
    0.0238857        293.25   0.000697744     -0.075441  -0.000268581
    0.0260571       293.354   0.000743835    -0.0665113  -0.000263343
    0.0282286       293.458   0.000781943    -0.0571698  -0.000252193
       0.0304       293.567   0.000809265     -0.047141  -0.000234907
    0.0325714       293.683   0.000822401    -0.0362396  -0.000211204
    0.0347429       293.805   0.000819078    -0.0245197  -0.000181258
    0.0369143       293.935   0.000799424    -0.0121726  -0.000145818
    0.0390857        294.07   0.000763914    0.00058943  -0.000105968
    0.0412571       294.211   0.000711722     0.0136622  -6.25429e-05
    0.0434286        294.36   0.000641683     0.0270349  -1.62501e-05
       0.0456       294.518   0.000554829     0.0406645    3.1842e-05
    0.0477714       294.687    0.00045384      0.054487   8.04535e-05
    0.0499429        294.87   0.000342519       0.06844   0.000128226
    0.0521143       295.067   0.000226883     0.0824516   0.000173683
    0.0542857       295.283   0.000115473      0.096442   0.000215256
    0.0564571        295.52   1.84396e-05      0.110348   0.000251423
    0.0586286       295.787   -5.8416e-05      0.124198   0.000280923
       0.0608       296.096  -0.000116912      0.138293    0.00031557
    0.0629714       296.479  -0.000155246      0.153016   0.000320798
    0.0651429       296.984  -0.000175846      0.168826   0.000314208
    0.0673143       297.716  -0.000177017      0.185971   0.000304969
    0.0694857       298.937  -0.000153442      0.203579   0.000268151
    0.0716571       301.098  -9.92122e-05      0.207943   0.000172313
    0.0738286       304.228  -3.72154e-05      0.155762   8.84368e-05
        0.076        307.75             0             0             0
