#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       290.672   0.000199021     -0.126114   0.000599571
   0.00434286       293.043   0.000677611     -0.173357    0.00130848
   0.00651429       295.037    0.00131154     -0.175956    0.00175784
   0.00868571       296.526    0.00192826     -0.160193    0.00178469
    0.0108571       297.557    0.00238954     -0.140031    0.00149639
    0.0130286       298.259    0.00262594     -0.120862    0.00103406
       0.0152       298.719    0.00263038     -0.104139   0.000542344
    0.0173714        298.99    0.00238955     -0.090474   0.000137777
    0.0195429       299.106     0.0019039    -0.0799653  -0.000124372
    0.0217143       299.093    0.00118985    -0.0723836    -0.0002396
    0.0238857       298.982    0.00030481     -0.067231  -0.000234836
    0.0260571       298.815  -0.000645484    -0.0636157  -0.000159562
    0.0282286       298.632   -0.00154666    -0.0604771  -6.19191e-05
       0.0304       298.461   -0.00232725    -0.0570199   3.11486e-05
    0.0325714        298.31   -0.00296516    -0.0528354   0.000111413
    0.0347429       298.183   -0.00346445    -0.0477749   0.000178595
    0.0369143       298.079   -0.00383127    -0.0417916   0.000234476
    0.0390857       297.997   -0.00406567    -0.0348013   0.000281544
    0.0412571       297.934   -0.00416849    -0.0267472    0.00032178
    0.0434286       297.893   -0.00415215    -0.0178131   0.000355359
       0.0456       297.875   -0.00404997   -0.00840064   0.000381251
    0.0477714       297.881   -0.00388043    0.00149358   0.000398395
    0.0499429       297.914   -0.00363852      0.012067   0.000406319
    0.0521143       297.974   -0.00333912     0.0231457   0.000405214
    0.0542857       298.064   -0.00300861     0.0345316   0.000395679
    0.0564571       298.188    -0.0026642     0.0461774   0.000378562
    0.0586286       298.355    -0.0023194      0.058167   0.000355455
       0.0608       298.576   -0.00198143     0.0707374   0.000329165
    0.0629714       298.878   -0.00165296     0.0842721   0.000303918
    0.0651429       299.308   -0.00133836     0.0992091    0.00028523
    0.0673143       299.969   -0.00104392      0.115893   0.000277908
    0.0694857       301.075  -0.000766585      0.132522   0.000277279
    0.0716571       302.862  -0.000473072      0.136772   0.000244789
    0.0738286        305.21  -0.000172941      0.101226   0.000137286
        0.076        307.75             0             0             0
