#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.953   9.48634e-05     -0.121554   7.61373e-05
   0.00434286       291.674   0.000316187     -0.177172   0.000202286
   0.00651429       293.079   0.000618025     -0.186613   0.000321459
   0.00868571       293.968   0.000842921     -0.174619   0.000400806
    0.0108571       294.422   0.000868844     -0.159539   0.000435437
    0.0130286       294.642   0.000726606     -0.146577   0.000440619
       0.0152       294.753   0.000492799     -0.135617    0.00043003
    0.0173714       294.813   0.000220304     -0.125944   0.000413071
    0.0195429       294.851  -5.79155e-05     -0.116974   0.000394415
    0.0217143       294.881  -0.000324547     -0.108308   0.000376051
    0.0238857       294.912  -0.000570663    -0.0996719   0.000358645
    0.0260571       294.946  -0.000790055    -0.0908298   0.000342378
    0.0282286       294.989  -0.000978201    -0.0814766    0.00032697
       0.0304       295.042   -0.00113218    -0.0713345   0.000312062
    0.0325714       295.107   -0.00125134    -0.0603353    0.00029772
    0.0347429       295.184   -0.00133862    -0.0485903   0.000284025
    0.0369143       295.273   -0.00139773    -0.0362549   0.000270823
    0.0390857       295.374   -0.00143169    -0.0234727   0.000257953
    0.0412571       295.488   -0.00144191    -0.0103794   0.000245116
    0.0434286       295.615   -0.00142953    0.00303857   0.000231838
       0.0456       295.757   -0.00139685     0.0167787   0.000217627
    0.0477714       295.914   -0.00134607     0.0306607   0.000202112
    0.0499429       296.086    -0.0012786     0.0444803   0.000184922
    0.0521143       296.271   -0.00119607     0.0580134   0.000165605
    0.0542857        296.47   -0.00110132     0.0710733   0.000143569
    0.0564571       296.686  -0.000997855     0.0836582   0.000117897
    0.0586286       296.929  -0.000888403     0.0960403   8.71686e-05
       0.0608       297.215   -0.00077503      0.108594   4.97919e-05
    0.0629714       297.567  -0.000660098      0.121611   4.41713e-06
    0.0651429       298.028  -0.000546145      0.135396  -5.03486e-05
    0.0673143       298.694  -0.000436032      0.150324   -0.00011621
    0.0694857       299.804  -0.000329165      0.165614  -0.000191576
    0.0716571       301.761  -0.000213994       0.17002  -0.000245225
    0.0738286       304.581   -8.7613e-05      0.127941  -0.000196776
        0.076        307.75             0             0             0
