#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       288.951   0.000185259    -0.0564468   3.91695e-05
   0.00434286       289.728   0.000544164    -0.0857863    9.1038e-05
   0.00651429       290.405   0.000950452    -0.0939746   0.000138306
   0.00868571         290.9    0.00133396    -0.0902612   0.000169191
    0.0108571       291.221    0.00169994    -0.0830265   0.000185232
    0.0130286       291.429    0.00206499    -0.0756166    0.00019201
       0.0152       291.574     0.0024338    -0.0686029   0.000193725
    0.0173714       291.682    0.00280076    -0.0619236    0.00019246
    0.0195429       291.766     0.0031615    -0.0554532   0.000189306
    0.0217143       291.833    0.00351234    -0.0490879   0.000184912
    0.0238857       291.889    0.00385033    -0.0427509   0.000179707
    0.0260571       291.936    0.00417232    -0.0363876   0.000173992
    0.0282286       291.975    0.00447488    -0.0299156   0.000167956
       0.0304        292.01    0.00475604    -0.0231772   0.000161671
    0.0325714        292.04    0.00501382     -0.016039   0.000155231
    0.0347429       292.068    0.00524285     -0.008537   0.000148887
    0.0369143       292.092    0.00542931  -0.000910194   0.000143019
    0.0390857       292.113    0.00556487     0.0065758   0.000137952
    0.0412571       292.131    0.00565842     0.0140926    0.00013367
    0.0434286       292.148    0.00570957     0.0217896   0.000130191
       0.0456       292.165      0.005708     0.0294927   0.000127754
    0.0477714       292.182    0.00564907     0.0371324   0.000126502
    0.0499429       292.202    0.00552805      0.044702   0.000126551
    0.0521143       292.228    0.00533851      0.052246   0.000128045
    0.0542857       292.263    0.00507183     0.0598797   0.000131229
    0.0564571       292.315    0.00471705     0.0678521   0.000136585
    0.0586286       292.401    0.00426174     0.0766769   0.000145152
       0.0608       292.556    0.00369417      0.087379   0.000159164
    0.0629714        292.86     0.0030133      0.101859   0.000182947
    0.0651429       293.477    0.00225485       0.12295   0.000222024
    0.0673143        294.66    0.00153289      0.152486   0.000273738
    0.0694857       296.706   0.000938964      0.185673   0.000307978
    0.0716571       299.761   0.000454031      0.201259   0.000271424
    0.0738286       303.595   0.000107424      0.157344   0.000150397
        0.076        307.75             0             0             0
