#           x             T           U_x           U_y           U_z
            0        288.15             0             0             0
   0.00217143       289.549  -8.53047e-07     -0.107418  -0.000377584
   0.00434286       290.807  -3.88287e-06     -0.154368  -0.000734603
   0.00651429       291.697  -7.99218e-06     -0.161682  -0.000888519
   0.00868571       292.209  -1.22396e-05     -0.154962  -0.000920555
    0.0108571        292.52  -1.64928e-05     -0.146012  -0.000914768
    0.0130286        292.74  -2.06445e-05     -0.136891  -0.000895378
       0.0152       292.916  -2.45974e-05     -0.127779  -0.000869808
    0.0173714        293.07  -2.83151e-05     -0.118619  -0.000841705
    0.0195429        293.21  -3.18071e-05     -0.109336  -0.000813434
    0.0217143       293.344  -3.51055e-05     -0.099864  -0.000786612
    0.0238857       293.475  -3.81666e-05    -0.0901509  -0.000762401
    0.0260571       293.606  -4.11801e-05    -0.0800797  -0.000741486
    0.0282286       293.742  -4.45705e-05     -0.069393  -0.000724199
       0.0304       293.888    -4.869e-05    -0.0578406  -0.000711027
    0.0325714       294.043  -5.34537e-05    -0.0453774  -0.000702804
    0.0347429       294.209  -5.82728e-05    -0.0321308  -0.000700329
    0.0369143       294.384  -6.25365e-05    -0.0182689  -0.000704068
    0.0390857       294.566  -6.57194e-05   -0.00393406  -0.000714186
    0.0412571       294.756  -6.74509e-05     0.0107781  -0.000730657
    0.0434286       294.956  -6.75582e-05     0.0257943  -0.000753114
       0.0456       295.165  -6.59965e-05     0.0410247   -0.00078064
    0.0477714       295.382  -6.28488e-05     0.0563306  -0.000811562
    0.0499429       295.608  -5.84409e-05     0.0714926  -0.000843057
    0.0521143       295.841  -5.33991e-05     0.0862145  -0.000870909
    0.0542857        296.08  -4.85076e-05      0.100214  -0.000889625
    0.0564571       296.326  -4.41287e-05      0.113443  -0.000892844
    0.0586286        296.59  -4.01208e-05      0.126208  -0.000873188
       0.0608        296.89  -3.61271e-05       0.13892  -0.000821556
    0.0629714        297.25  -3.19127e-05       0.15186  -0.000727022
    0.0651429       297.709  -2.73567e-05      0.165283  -0.000576129
    0.0673143       298.362  -2.21153e-05      0.179464  -0.000350564
    0.0694857       299.449  -1.55879e-05      0.193499  -2.98675e-05
    0.0716571       301.424  -7.84412e-06      0.195417   0.000319055
    0.0738286       304.373  -1.89807e-06      0.145695   0.000394555
        0.076        307.75             0             0             0
